a q b lambda
0.0 0.0 0.0 1.9999999500077073
0.007070926475323991 0.0 0.01 2.000079954418717
0.014141004315820499 0.0 0.02 2.0003200205978597
0.0212093844597079 0.0 0.03 2.0007203075071702
0.02827521699061481 0.0 0.04 2.0012810803923244
0.035337650708457145 0.0 0.05 2.0020027112714076
0.04239583269801788 0.0 0.06 2.0028856796210315
0.0494489078948208 0.0 0.07 2.003930573232739
0.05649601864687852 0.0 0.08 2.0051380893136757
0.06353630427223066 0.0 0.09 2.0065090357583877
0.0705689006114236 0.0 0.1 2.008044332623251
0.07759293957330582 0.0 0.11 2.009745013855551
0.08460754867433087 0.0 0.12 2.0116122292118805
0.09161185057006745 0.0 0.13 2.013647246409448
0.09860496257800364 0.0 0.14 2.015851453517103
0.10558599619053946 0.0 0.15 2.0182263616006124
0.11255405657806089 0.0 0.16 2.020773607597893
0.11950824207987597 0.0 0.17 2.0234949574868
0.1264476436825802 0.0 0.18 2.0263923097282643
0.13337134448587482 0.0 0.19 2.029467698965462
0.14027841915210473 0.0 0.2 2.032723300080813
0.147167933340576 0.0 0.21 2.0361614325479067
0.15403894312505267 0.0 0.22 2.0397845651132966
0.16089049439214942 0.0 0.23 2.043595320854382
0.16772162221966594 0.0 0.24 2.047596482618552
0.17453135023386404 0.0 0.25 2.051790998854598
0.18131868994326308 0.0 0.26 2.0561819898830804
0.18808264004921843 0.0 0.27 2.0607727545875516
0.19482218572707544 0.0 0.28 2.0655667776577236
0.2015362978821602 0.0 0.29 2.0705677372753435
0.20822393237337566 0.0 0.3 2.0757795133973387
0.2148840292040268 0.0 0.31 2.081206196630563
0.22151551167955716 0.0 0.32 2.0868520977020997
0.22811728552516294 0.0 0.33 2.0927217576610695
0.23468823796675012 0.0 0.34 2.0988199587425282
0.2412272367637923 0.0 0.35 2.1051517361090846
0.2477331292024747 0.0 0.36 2.111722390318647
0.25420474103282553 0.0 0.37 2.1185375008185856
0.260640875357384 0.0 0.38 2.1256029403380987
0.2670403114607039 0.0 0.39 2.1329248903787033
0.2734018035774034 0.0 0.4 2.1405098578537096
0.27972407959544604 0.0 0.41 2.148364692952379
0.28600583968721194 0.0 0.42 2.156496608373246
0.29224575486425663 0.0 0.43 2.1649132000201785
0.2984424654505755 0.0 0.44 2.173622469278689
0.3045945794660084 0.0 0.45 2.1826328470426493
0.3107006709135187 0.0 0.46 2.191953219634853
0.3167592779650048 0.0 0.47 2.201592956761408
0.3227689010309932 0.0 0.48 2.211561941780121
0.32872800071179203 0.0 0.49 2.2218706043980085
0.33463499561672677 0.0 0.5 2.2325299560819003
0.34048826003844324 0.0 0.51 2.243551628469831
0.34628612147360904 0.0 0.52 2.254947915027883
0.35202685797217054 0.0 0.53 2.2667318163383143
0.35770869530597693 0.0 0.54 2.27891708931054
0.3633298039303784 0.0 0.55 2.2915183008545252
0.3688882957306444 0.0 0.56 2.3045508863464037
0.37438222052435755 0.0 0.57 2.3180312135158183
0.37980956229975166 0.0 0.58 2.3319766523064955
0.38516823516367327 0.0 0.59 2.346405651385638
0.39045607896825024 0.0 0.6 2.361337822084583
0.39567085458645646 0.0 0.61 2.376794030599078
