a q b lambda
0.11985826112747425 0.014184397163120567 0.17 2.0116938915992892
0.1268641844097544 0.014184397163120567 0.18 2.013107406200382
0.13386246704985583 0.014184397163120567 0.19 2.0146033535844317
0.14085268422845423 0.014184397163120567 0.2 2.0161820124848977
0.14783441108338097 0.014184397163120567 0.21 2.0178436772135013
0.1548072227086998 0.014184397163120567 0.22 2.0195886577924598
0.1617706941569965 0.014184397163120567 0.23 2.021417280010456
0.16872440044170794 0.014184397163120567 0.24 2.0233298855020236
0.17566791653789984 0.014184397163120567 0.25 2.025326831882357
0.1826008173860593 0.014184397163120567 0.26 2.027408492823489
0.18952267789542845 0.014184397163120567 0.27 2.029575258162594
0.19643307294872292 0.014184397163120567 0.28 2.0318275339981358
0.20333157740511573 0.014184397163120567 0.29 2.034165742840613
0.21021776610801177 0.014184397163120567 0.3 2.0365903236808665
0.21709121388898212 0.014184397163120567 0.31 2.0391017321572504
0.2239514955764487 0.014184397163120567 0.32 2.0417004406459314
0.23079818600290136 0.014184397163120567 0.33 2.044386938401287
0.237630860012685 0.014184397163120567 0.34 2.0471617317028796
0.2444490924729556 0.014184397163120567 0.35 2.050025343965535
0.2512524582828274 0.014184397163120567 0.36 2.0529783159018153
0.25804053238507746 0.014184397163120567 0.37 2.056021205659311
0.26481288977909095 0.014184397163120567 0.38 2.059154588958749
0.27156910553304414 0.014184397163120567 0.39 2.062379059264343
0.2783087547994655 0.014184397163120567 0.4 2.0656952279208904
0.28503141282965067 0.014184397163120567 0.41 2.0691037243295853
0.29173665499207685 0.014184397163120567 0.42 2.0726051960846585
0.2984240567877751 0.014184397163120567 0.43 2.0762003091755834
0.30509319387241385 0.014184397163120567 0.44 2.079889748113555
0.3117436420744547 0.014184397163120567 0.45 2.0836742161359294
0.31837497741740195 0.014184397163120567 0.46 2.0875544353738453
0.32498677614519234 0.014184397163120567 0.47 2.091531147001109
0.33157861474323236 0.014184397163120567 0.48 2.095605111462248
0.33815006996715014 0.014184397163120567 0.49 2.099777108620951
0.3447007188701329 0.014184397163120567 0.5 2.1040479379508006
0.35123013883184107 0.014184397163120567 0.51 2.10841841872817
0.35773790758825075 0.014184397163120567 0.52 2.1128893902354617
0.36422360326767156 0.014184397163120567 0.53 2.1174617119133203
0.37068680442192903 0.014184397163120567 0.54 2.122136263594059
0.37712709006353373 0.014184397163120567 0.55 2.1269139456863284
0.38354403970469103 0.014184397163120567 0.56 2.1317956793628237
0.3899372333982174 0.014184397163120567 0.57 2.136782406750567
0.39630625177587236 0.014184397163120567 0.58 2.1418750911725946
0.40265067609823935 0.014184397163120567 0.59 2.1470747172860247
0.40897008829655673 0.014184397163120567 0.6 2.1523822913328607
0.415264071023618 0.014184397163120567 0.61 2.1577988413158864
0.4215322077018977 0.014184397163120567 0.62 2.163325417228261
0.4277740825817214 0.014184397163120567 0.63 2.168963091202609
0.43398928079152116 0.014184397163120567 0.64 2.1747129577666247
0.44017738839908305 0.014184397163120567 0.65 2.1805761340094785
0.44633799247133477 0.014184397163120567 0.66 2.1865537597884166
0.4524706811345433 0.014184397163120567 0.67 2.1926469979544736
0.45857504364643725 0.014184397163120567 0.68 2.198857034485673
0.46465067045625363 0.014184397163120567 0.69 2.205185078762365
0.4706971532800076 0.014184397163120567 0.7 2.2116323637181154
0.47671408517543123 0.014184397163120567 0.71 2.218200146019654
0.48270106061324225 0.014184397163120567 0.72 2.224889706304577
0.4886576755633556 0.014184397163120567 0.73 2.231702349302983
0.494583527565783 0.014184397163120567 0.74 2.2386394041242252
0.5004782158259579 0.014184397163120567 0.75 2.245702224341778
0.5063413412924869 0.014184397163120567 0.76 2.252892188261975
0.5121725067546848 0.014184397163120567 0.77 2.260210699035802
0.5179713169244696 0.014184397163120567 0.78 2.2676591849326235
0.5237373785358986 0.014184397163120567 0.79 2.275239099477362
0.5294703004388747 0.014184397163120567 0.8 2.2829519216606347
0.5351696936953403 0.014184397163120567 0.81 2.2907991561463406
0.5408351716747564 0.014184397163120567 0.82 2.2987823335037167
0.5464663501387513 0.014184397163120567 0.83 2.30690301054767
0.5520628473682963 0.014184397163120567 0.84 2.315162770334547
0.5576242842070319 0.014184397163120567 0.85 2.323563222881886
0.5631502841861349 0.014184397163120567 0.86 2.332106005209825
